CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CFE data is subject to the Terms and Conditions of CBOE's Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
03/24/2014,Z (Dec 14),0.00,16.05,20.05,0.00,18.05,18.05,0,0,0
03/25/2014,Z (Dec 14),18.35,18.50,18.32,18.45,18.45,0.40,285,0,209
03/26/2014,Z (Dec 14),18.39,18.66,18.39,18.60,18.60,0.15,458,0,561
03/27/2014,Z (Dec 14),18.55,18.65,18.45,18.55,18.55,-0.05,287,0,562
03/28/2014,Z (Dec 14),18.39,18.55,18.39,18.55,18.45,-0.10,128,0,646
03/31/2014,Z (Dec 14),18.40,18.44,18.21,18.21,18.25,-0.20,272,0,810
04/01/2014,Z (Dec 14),18.20,18.20,18.05,18.06,18.10,-0.15,122,0,904
04/02/2014,Z (Dec 14),18.00,18.12,17.95,18.12,18.15,0.05,108,0,1064
04/03/2014,Z (Dec 14),18.10,18.15,18.03,18.05,18.00,-0.15,122,0,1155
04/04/2014,Z (Dec 14),17.85,18.17,17.85,18.10,18.10,0.10,125,0,1129
04/07/2014,Z (Dec 14),18.10,18.35,18.05,18.25,18.30,0.20,521,0,1477
04/08/2014,Z (Dec 14),18.15,18.20,17.95,18.10,18.10,-0.20,343,0,1461
04/09/2014,Z (Dec 14),18.06,18.13,17.85,17.85,17.90,-0.20,471,0,1772
04/10/2014,Z (Dec 14),17.93,18.25,17.89,18.25,18.25,0.35,172,0,1721
04/11/2014,Z (Dec 14),18.25,18.37,18.15,18.37,18.35,0.10,296,0,1800
04/14/2014,Z (Dec 14),18.35,18.47,18.20,18.33,18.30,-0.05,437,0,1916
04/15/2014,Z (Dec 14),18.40,18.61,18.15,18.25,18.25,-0.05,675,0,2108
04/16/2014,Z (Dec 14),18.05,18.31,17.95,18.01,18.05,-0.20,530,0,2328
04/17/2014,Z (Dec 14),18.05,18.13,17.93,18.05,18.05,0.00,644,0,2785
04/21/2014,Z (Dec 14),17.97,18.10,17.95,18.10,18.10,0.05,498,0,2867
04/22/2014,Z (Dec 14),18.00,18.10,17.93,18.05,18.05,-0.05,862,0,3194
04/23/2014,Z (Dec 14),18.06,18.15,18.00,18.15,18.15,0.10,699,0,3775
04/24/2014,Z (Dec 14),18.05,18.25,18.02,18.10,18.05,-0.10,627,0,3853
04/25/2014,Z (Dec 14),18.08,18.25,18.05,18.10,18.10,0.05,626,0,4044
04/28/2014,Z (Dec 14),18.05,18.11,17.92,17.92,17.95,-0.15,471,0,4246
04/29/2014,Z (Dec 14),17.90,17.95,17.77,17.77,17.80,-0.15,356,0,4457
04/30/2014,Z (Dec 14),17.80,17.89,17.75,17.80,17.85,0.05,999,0,5058
05/01/2014,Z (Dec 14),17.84,17.87,17.80,17.82,17.85,0.00,136,0,5024
05/02/2014,Z (Dec 14),17.78,17.95,17.75,17.95,17.95,0.10,465,0,5203
05/05/2014,Z (Dec 14),17.95,18.05,17.80,17.80,17.85,-0.10,501,0,5466
05/06/2014,Z (Dec 14),17.80,17.98,17.78,17.97,18.00,0.15,303,0,5651
05/07/2014,Z (Dec 14),17.88,17.92,17.75,17.76,17.80,-0.20,89,0,5658
05/08/2014,Z (Dec 14),17.75,17.77,17.60,17.75,17.75,-0.05,476,0,5811
05/09/2014,Z (Dec 14),17.76,17.80,17.48,17.55,17.55,-0.20,798,0,6207
05/12/2014,Z (Dec 14),17.50,17.50,17.27,17.35,17.40,-0.15,1713,0,6914
05/13/2014,Z (Dec 14),17.40,17.40,17.25,17.35,17.35,-0.05,1444,0,6943
05/14/2014,Z (Dec 14),17.35,17.48,17.32,17.45,17.45,0.10,1113,0,7391
05/15/2014,Z (Dec 14),17.40,17.63,17.38,17.45,17.50,0.05,912,0,7346
05/16/2014,Z (Dec 14),17.55,17.55,17.33,17.40,17.40,-0.10,645,0,7689
05/19/2014,Z (Dec 14),17.40,17.41,17.15,17.15,17.20,-0.20,562,0,7773
05/20/2014,Z (Dec 14),17.20,17.31,17.12,17.16,17.20,0.00,1400,0,8279
05/21/2014,Z (Dec 14),17.20,17.25,17.03,17.10,17.10,-0.10,1768,2,9162
05/22/2014,Z (Dec 14),17.10,17.30,17.00,17.30,17.30,0.20,3422,0,10016
05/23/2014,Z (Dec 14),17.25,17.30,17.15,17.30,17.30,0.00,2732,0,10644
05/27/2014,Z (Dec 14),17.30,17.30,17.10,17.15,17.15,-0.15,2305,0,11268
05/28/2014,Z (Dec 14),17.10,17.30,17.05,17.30,17.30,0.15,1715,0,11739
05/29/2014,Z (Dec 14),17.25,17.35,17.15,17.25,17.30,0.00,1461,11,11995
05/30/2014,Z (Dec 14),17.27,17.46,17.25,17.45,17.45,0.15,1454,0,12291
06/02/2014,Z (Dec 14),17.45,17.55,17.40,17.50,17.50,0.05,2930,0,12781
06/03/2014,Z (Dec 14),17.50,17.60,17.40,17.45,17.45,-0.05,1591,16,13174
06/04/2014,Z (Dec 14),17.45,17.45,17.20,17.27,17.30,-0.15,2341,0,13716
06/05/2014,Z (Dec 14),17.29,17.33,16.95,16.99,17.00,-0.30,4296,0,13813
06/06/2014,Z (Dec 14),17.00,17.02,16.38,16.50,16.50,-0.50,4724,79,14128
06/09/2014,Z (Dec 14),16.45,16.67,16.38,16.60,16.65,0.15,2318,86,14371
06/10/2014,Z (Dec 14),16.65,16.76,16.56,16.63,16.65,0.00,2796,0,14967
06/11/2014,Z (Dec 14),16.65,16.80,16.60,16.77,16.80,0.15,3198,0,15210
