Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
07/12/2012,J (Apr 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
07/13/2012,J (Apr 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
07/16/2012,J (Apr 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
07/17/2012,J (Apr 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
07/18/2012,J (Apr 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
07/19/2012,J (Apr 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
07/20/2012,J (Apr 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
07/23/2012,J (Apr 13),0.00,0.00,0.00,0.00,26.10,26.10,0,0,0
07/24/2012,J (Apr 13),29.95,29.95,28.25,28.25,28.25,2.15,2,0,2
07/25/2012,J (Apr 13),28.25,28.25,27.89,27.90,28.10,-0.15,3,0,3
07/26/2012,J (Apr 13),27.54,27.55,27.51,27.55,27.30,-0.80,9,0,9
07/27/2012,J (Apr 13),26.91,27.35,26.80,27.15,27.15,-0.15,26,0,23
07/30/2012,J (Apr 13),27.45,27.45,26.70,26.70,27.50,0.35,2,0,22
07/31/2012,J (Apr 13),27.60,27.60,27.58,27.60,27.70,0.20,17,0,34
08/01/2012,J (Apr 13),27.40,27.55,27.20,27.40,27.80,0.10,36,0,47
08/02/2012,J (Apr 13),27.80,28.05,27.75,27.80,27.80,0.00,23,0,54
08/03/2012,J (Apr 13),27.60,27.65,27.30,27.30,27.35,-0.45,168,0,173
08/06/2012,J (Apr 13),26.89,27.11,26.73,27.00,27.05,-0.30,175,0,261
08/07/2012,J (Apr 13),27.07,27.45,26.85,27.37,27.40,0.35,83,0,312
08/08/2012,J (Apr 13),27.25,27.26,26.97,27.00,27.40,0.00,7,0,312
08/09/2012,J (Apr 13),27.10,27.24,27.10,27.12,27.10,-0.30,16,0,309
08/10/2012,J (Apr 13),27.05,27.15,26.91,26.91,26.95,-0.15,38,0,306
08/13/2012,J (Apr 13),26.90,26.94,26.80,26.90,26.95,0.00,40,0,305
08/14/2012,J (Apr 13),27.15,27.45,27.15,27.45,27.40,0.45,13,0,313
08/15/2012,J (Apr 13),27.10,27.35,27.09,27.35,27.30,-0.10,320,0,602
08/16/2012,J (Apr 13),27.45,27.45,27.19,27.19,27.20,-0.10,202,0,766
08/17/2012,J (Apr 13),27.39,27.46,27.13,27.13,27.15,-0.05,99,0,851
08/20/2012,J (Apr 13),27.25,27.52,27.24,27.52,27.50,0.35,196,0,961
08/21/2012,J (Apr 13),27.45,28.01,27.38,27.93,27.90,0.40,492,0,1381
